IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.242.252.237,2053,true,HKG,Asia Pacific,Hong Kong,144 ms,5884 kB/s
8.219.240.160,2096,true,SIN,Asia Pacific,Singapore,235 ms,5883 kB/s
8.219.209.14,2087,true,SIN,Asia Pacific,Singapore,236 ms,5871 kB/s
8.218.122.55,2096,true,HKG,Asia Pacific,Hong Kong,84 ms,5857 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,213 ms,5850 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,345 ms,5841 kB/s
47.243.107.148,2083,true,HKG,Asia Pacific,Hong Kong,96 ms,5828 kB/s
47.236.158.158,2087,true,SIN,Asia Pacific,Singapore,212 ms,5799 kB/s
47.243.139.85,2096,true,HKG,Asia Pacific,Hong Kong,114 ms,5756 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,240 ms,5736 kB/s
47.242.17.250,2087,true,HKG,Asia Pacific,Hong Kong,107 ms,5729 kB/s
8.219.229.190,8443,true,SIN,Asia Pacific,Singapore,222 ms,5711 kB/s
47.236.9.152,2087,true,SIN,Asia Pacific,Singapore,264 ms,5710 kB/s
8.210.192.93,2096,true,HKG,Asia Pacific,Hong Kong,126 ms,5695 kB/s
47.236.167.231,2083,true,SIN,Asia Pacific,Singapore,240 ms,5688 kB/s
47.243.5.154,2053,true,HKG,Asia Pacific,Hong Kong,309 ms,5663 kB/s
8.219.177.205,8443,true,SIN,Asia Pacific,Singapore,221 ms,5656 kB/s
47.236.237.90,2087,true,SIN,Asia Pacific,Singapore,241 ms,5647 kB/s
47.243.169.63,2096,true,HKG,Asia Pacific,Hong Kong,128 ms,5623 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,252 ms,5616 kB/s
8.217.232.246,2053,true,HKG,Asia Pacific,Hong Kong,186 ms,5596 kB/s
47.236.102.102,2096,true,SIN,Asia Pacific,Singapore,217 ms,5592 kB/s
47.243.27.217,2083,true,HKG,Asia Pacific,Hong Kong,118 ms,5589 kB/s
8.217.127.73,2096,true,HKG,Asia Pacific,Hong Kong,108 ms,5579 kB/s
47.245.114.163,2053,true,SIN,Asia Pacific,Singapore,239 ms,5543 kB/s
47.236.164.215,8443,true,SIN,Asia Pacific,Singapore,214 ms,5488 kB/s
47.245.102.52,2053,true,SIN,Asia Pacific,Singapore,233 ms,5479 kB/s
8.222.146.222,2087,true,SIN,Asia Pacific,Singapore,218 ms,5472 kB/s
8.219.117.198,2096,true,SIN,Asia Pacific,Singapore,225 ms,5471 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,230 ms,5457 kB/s
8.217.193.25,2096,true,HKG,Asia Pacific,Hong Kong,133 ms,5446 kB/s
8.217.145.40,2087,true,HKG,Asia Pacific,Hong Kong,168 ms,5444 kB/s
8.219.142.191,2053,true,SIN,Asia Pacific,Singapore,209 ms,5428 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,216 ms,5422 kB/s
8.219.132.64,2083,true,SIN,Asia Pacific,Singapore,227 ms,5379 kB/s
8.219.78.1,2083,true,SIN,Asia Pacific,Singapore,242 ms,5360 kB/s
47.245.105.224,2087,true,SIN,Asia Pacific,Singapore,241 ms,5327 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,217 ms,5316 kB/s
47.76.49.246,2053,true,HKG,Asia Pacific,Hong Kong,197 ms,5307 kB/s
8.222.134.170,2096,true,SIN,Asia Pacific,Singapore,223 ms,5288 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,261 ms,5279 kB/s
8.219.126.240,2087,true,SIN,Asia Pacific,Singapore,290 ms,5241 kB/s
8.218.122.55,2053,true,HKG,Asia Pacific,Hong Kong,69 ms,5221 kB/s
8.222.214.231,2087,true,SIN,Asia Pacific,Singapore,219 ms,5219 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,244 ms,5214 kB/s
8.219.98.13,2087,true,SIN,Asia Pacific,Singapore,229 ms,5212 kB/s
47.243.86.79,8443,true,HKG,Asia Pacific,Hong Kong,148 ms,5181 kB/s
8.219.229.190,2083,true,SIN,Asia Pacific,Singapore,230 ms,5178 kB/s
47.76.49.246,2083,true,HKG,Asia Pacific,Hong Kong,192 ms,5175 kB/s
8.219.111.175,2087,true,SIN,Asia Pacific,Singapore,231 ms,5165 kB/s
8.219.222.98,2053,true,SIN,Asia Pacific,Singapore,217 ms,5164 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,219 ms,5162 kB/s
47.236.9.152,8443,true,SIN,Asia Pacific,Singapore,262 ms,5138 kB/s
8.217.193.25,2053,true,HKG,Asia Pacific,Hong Kong,107 ms,5129 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,235 ms,5122 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,230 ms,5120 kB/s
8.219.229.190,2053,true,SIN,Asia Pacific,Singapore,210 ms,5108 kB/s
8.219.139.13,8443,true,SIN,Asia Pacific,Singapore,216 ms,5098 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,220 ms,5087 kB/s
8.222.181.117,2053,true,SIN,Asia Pacific,Singapore,225 ms,5087 kB/s
8.219.194.170,8443,true,SIN,Asia Pacific,Singapore,237 ms,5077 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,220 ms,5071 kB/s
8.218.122.55,2083,true,HKG,Asia Pacific,Hong Kong,69 ms,5066 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,322 ms,5061 kB/s
47.236.17.193,8443,true,SIN,Asia Pacific,Singapore,240 ms,5058 kB/s
47.243.139.85,2083,true,HKG,Asia Pacific,Hong Kong,114 ms,5039 kB/s
8.219.67.133,8443,true,SIN,Asia Pacific,Singapore,225 ms,5037 kB/s
8.219.51.211,8443,true,SIN,Asia Pacific,Singapore,253 ms,5035 kB/s
8.219.139.13,2053,true,SIN,Asia Pacific,Singapore,210 ms,5017 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,247 ms,5010 kB/s
47.242.176.237,2053,true,HKG,Asia Pacific,Hong Kong,104 ms,4987 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,247 ms,4985 kB/s
8.219.113.232,2053,true,SIN,Asia Pacific,Singapore,238 ms,4978 kB/s
8.219.114.201,2096,true,SIN,Asia Pacific,Singapore,235 ms,4978 kB/s
8.219.83.201,2087,true,SIN,Asia Pacific,Singapore,232 ms,4970 kB/s
8.219.111.175,2083,true,SIN,Asia Pacific,Singapore,221 ms,4968 kB/s
47.236.146.249,2053,true,SIN,Asia Pacific,Singapore,220 ms,4962 kB/s
8.219.240.160,2053,true,SIN,Asia Pacific,Singapore,254 ms,4959 kB/s
8.219.111.175,2053,true,SIN,Asia Pacific,Singapore,234 ms,4959 kB/s
47.236.170.225,8443,true,SIN,Asia Pacific,Singapore,251 ms,4942 kB/s
8.219.161.129,2083,true,SIN,Asia Pacific,Singapore,297 ms,4936 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,257 ms,4924 kB/s
8.218.3.12,2053,true,HKG,Asia Pacific,Hong Kong,71 ms,4913 kB/s
8.219.142.191,8443,true,SIN,Asia Pacific,Singapore,249 ms,4913 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,256 ms,4912 kB/s
8.219.78.188,2096,true,SIN,Asia Pacific,Singapore,241 ms,4910 kB/s
8.222.184.198,2083,true,SIN,Asia Pacific,Singapore,222 ms,4907 kB/s
47.242.79.71,8443,true,HKG,Asia Pacific,Hong Kong,114 ms,4899 kB/s
8.219.191.40,8443,true,SIN,Asia Pacific,Singapore,235 ms,4897 kB/s
47.236.164.215,2083,true,SIN,Asia Pacific,Singapore,214 ms,4892 kB/s
8.222.179.231,8443,true,SIN,Asia Pacific,Singapore,226 ms,4888 kB/s
8.222.165.117,2087,true,SIN,Asia Pacific,Singapore,214 ms,4885 kB/s
47.236.80.110,2083,true,SIN,Asia Pacific,Singapore,308 ms,4885 kB/s
8.219.110.81,2096,true,SIN,Asia Pacific,Singapore,230 ms,4877 kB/s
47.243.173.187,8443,true,HKG,Asia Pacific,Hong Kong,227 ms,4873 kB/s
47.237.10.1,2096,true,SIN,Asia Pacific,Singapore,261 ms,4873 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,243 ms,4872 kB/s
47.237.14.220,8443,true,SIN,Asia Pacific,Singapore,208 ms,4864 kB/s
8.219.97.50,2096,true,SIN,Asia Pacific,Singapore,241 ms,4848 kB/s
8.219.60.54,2096,true,SIN,Asia Pacific,Singapore,270 ms,4847 kB/s
8.217.232.246,8443,true,HKG,Asia Pacific,Hong Kong,172 ms,4821 kB/s
47.236.169.164,2053,true,SIN,Asia Pacific,Singapore,209 ms,4808 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,269 ms,4808 kB/s
47.236.144.48,2087,true,SIN,Asia Pacific,Singapore,305 ms,4806 kB/s
8.222.237.131,2083,true,SIN,Asia Pacific,Singapore,302 ms,4806 kB/s
8.219.111.175,2096,true,SIN,Asia Pacific,Singapore,238 ms,4799 kB/s
47.236.102.102,8443,true,SIN,Asia Pacific,Singapore,217 ms,4788 kB/s
8.219.174.213,8443,true,SIN,Asia Pacific,Singapore,281 ms,4777 kB/s
47.237.0.31,2053,true,SIN,Asia Pacific,Singapore,216 ms,4776 kB/s
47.236.146.249,2087,true,SIN,Asia Pacific,Singapore,219 ms,4773 kB/s
47.236.93.176,2096,true,SIN,Asia Pacific,Singapore,229 ms,4772 kB/s
8.219.199.220,2053,true,SIN,Asia Pacific,Singapore,217 ms,4772 kB/s
8.222.167.147,2083,true,SIN,Asia Pacific,Singapore,231 ms,4764 kB/s
8.219.200.145,2096,true,SIN,Asia Pacific,Singapore,213 ms,4764 kB/s
47.237.82.15,8443,true,SIN,Asia Pacific,Singapore,229 ms,4751 kB/s
8.222.208.38,2087,true,SIN,Asia Pacific,Singapore,251 ms,4747 kB/s
47.237.100.206,8443,true,SIN,Asia Pacific,Singapore,232 ms,4744 kB/s
47.243.74.220,2087,true,HKG,Asia Pacific,Hong Kong,116 ms,4736 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,227 ms,4721 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,242 ms,4716 kB/s
47.237.86.185,2087,true,SIN,Asia Pacific,Singapore,237 ms,4688 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,328 ms,4666 kB/s
8.222.180.86,2087,true,SIN,Asia Pacific,Singapore,237 ms,4664 kB/s
8.219.210.57,8443,true,SIN,Asia Pacific,Singapore,232 ms,4655 kB/s
8.219.4.122,8443,true,SIN,Asia Pacific,Singapore,225 ms,4655 kB/s
8.217.127.73,8443,true,HKG,Asia Pacific,Hong Kong,106 ms,4653 kB/s
8.222.249.190,2083,true,SIN,Asia Pacific,Singapore,217 ms,4647 kB/s
8.219.174.213,2096,true,SIN,Asia Pacific,Singapore,241 ms,4642 kB/s
8.222.244.192,2083,true,SIN,Asia Pacific,Singapore,220 ms,4626 kB/s
47.243.42.219,2053,true,HKG,Asia Pacific,Hong Kong,160 ms,4604 kB/s
47.236.180.51,2053,true,SIN,Asia Pacific,Singapore,214 ms,4584 kB/s
8.222.164.209,2083,true,SIN,Asia Pacific,Singapore,224 ms,4576 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,351 ms,4555 kB/s
8.219.194.170,2087,true,SIN,Asia Pacific,Singapore,219 ms,4521 kB/s
8.219.174.213,2087,true,SIN,Asia Pacific,Singapore,260 ms,4521 kB/s
8.219.222.98,2087,true,SIN,Asia Pacific,Singapore,250 ms,4514 kB/s
8.210.156.6,2053,true,HKG,Asia Pacific,Hong Kong,193 ms,4511 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,204 ms,4497 kB/s
8.218.243.95,2096,true,HKG,Asia Pacific,Hong Kong,59 ms,4492 kB/s
8.222.249.190,2053,true,SIN,Asia Pacific,Singapore,215 ms,4491 kB/s
8.219.199.220,2087,true,SIN,Asia Pacific,Singapore,218 ms,4466 kB/s
8.219.113.232,8443,true,SIN,Asia Pacific,Singapore,217 ms,4463 kB/s
8.222.214.231,2053,true,SIN,Asia Pacific,Singapore,232 ms,4460 kB/s
47.236.146.249,443,true,SIN,Asia Pacific,Singapore,222 ms,4447 kB/s
47.237.92.26,2087,true,SIN,Asia Pacific,Singapore,248 ms,4446 kB/s
47.236.170.225,2053,true,SIN,Asia Pacific,Singapore,224 ms,4427 kB/s
8.219.126.240,2083,true,SIN,Asia Pacific,Singapore,330 ms,4423 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,237 ms,4418 kB/s
8.219.4.122,2083,true,SIN,Asia Pacific,Singapore,234 ms,4415 kB/s
47.237.83.20,2087,true,SIN,Asia Pacific,Singapore,246 ms,4412 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,248 ms,4398 kB/s
8.218.3.12,8443,true,HKG,Asia Pacific,Hong Kong,63 ms,4395 kB/s
8.219.142.191,2083,true,SIN,Asia Pacific,Singapore,211 ms,4386 kB/s
8.222.134.170,2087,true,SIN,Asia Pacific,Singapore,209 ms,4358 kB/s
8.219.42.72,2096,true,SIN,Asia Pacific,Singapore,230 ms,4329 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,229 ms,4328 kB/s
8.219.60.54,2087,true,SIN,Asia Pacific,Singapore,257 ms,4317 kB/s
8.210.39.96,2053,true,HKG,Asia Pacific,Hong Kong,123 ms,4299 kB/s
8.219.177.205,2096,true,SIN,Asia Pacific,Singapore,219 ms,4291 kB/s
8.219.248.47,8443,true,SIN,Asia Pacific,Singapore,234 ms,4288 kB/s
47.237.84.173,2053,true,SIN,Asia Pacific,Singapore,244 ms,4287 kB/s
47.237.81.112,8443,true,SIN,Asia Pacific,Singapore,222 ms,4284 kB/s
47.236.205.188,8443,true,SIN,Asia Pacific,Singapore,215 ms,4284 kB/s
